Before Midpoint	Midpoint	After Midpoint	Exemplars		
are_tended_by	turn_against	are_beaten_by	child:mama		
are_threatened_by	stand_up_to	are_beaten_by	hostage:bank_robber		
are_tipped_by	"insult, disrespect, condescend_to"	are_beaten_by	porter:tourist		
"are_cut_off_by, are_spoiled_by, are_failed_by"	spread_lies_about	are_beaten_by	slave:slaveholder		
are_treated_by	condescend_to	are_beaten_by	casualty:medic		
are_accompanied_by	fall_in_love_with	are_betrayed_by	explorer:cartographer		
are_brainwashed_by	kill_for	are_betrayed_by	suicide_bomber:imam		
are_championed_by	"disappoint, disgust, condescend_to"	are_betrayed_by	lord:knight		
are_corrupted_by	conspire_with	are_betrayed_by	abetter:criminal		
are_counseled_by	"disgust, disrespect"	are_betrayed_by	psycho:psychiatrist		
are_defended_by	"condescend_to, overwork"	are_betrayed_by	overlord:thug		
are_deflowered_by	marry	are_betrayed_by	lady:suitor		
are_escorted_by	condescend_to	are_betrayed_by	president:bodyguard		
are_flattered_by	"favor, show_loyalty_to, fall_in_love_with, confide_in"	are_betrayed_by	boss:bootlicker		
are_impressed_by	"promote, advise, coach, teach"	are_betrayed_by	king:pawn		
are_protected_by	"disgust, condescend_to"	are_betrayed_by	celebrity:minder		
are_scripted_by	disagree_with	are_betrayed_by	politician:handler		
are_served_by	fail_to_reward	are_betrayed_by	overlord:underling		
are_supported_by	"trust, confide_in"	are_betrayed_by	actor:understudy		
are_unimpressed_by	underestimate	are_betrayed_by	conspirator:coconspirator		
are_waited_upon_by	"condescend_to, fail_to_reward"	are_betrayed_by	queen:handmaiden		
are_cut_off_by	starve	are_bitten_by	dealer:wholesaler		
are_corrupted_by	"trust, confide_in"	are_blackmailed_by	victim:blackmailer		
are_enticed_by	sleep_with	are_blackmailed_by	punter:prostitute		
are_escorted_by	sleep_with	are_blackmailed_by	president:bodyguard		
are_followed_by	"lead_astray, confide_in"	are_blackmailed_by	master:imitator		
are_investigated_by	"lie_to, deceive"	are_blackmailed_by	thief:victim		
are_copied_by	lead_astray	are_booed_by	master:apprentice		
listen_to	are_lectured_by	read_the_works_of	master:apprentice		
are_lectured_by	"listen_to, read_the_works_of"	"are_bored_by, are_indoctrinated_by"	hearer:lecturer		
are_pitied_by	complain_to	are_bored_by	defendant:judge		
are_rewarded_with	take_advantage_of	are_bored_by	suicide_bomber:virgin		
are_wooed_by	marry	are_bored_by	woman:suitor		
condescend_to	are_lectured_by	are_bored_by	snob:commoner		
are_enticed_by	bow_down_to	are_bought_off_by	crooked_cop:criminal		
are_sought_by	negotiate_with	are_bought_off_by	proselyte:guru		
are_counseled_by	"disagree_with, argue_with"	are_bought_off_by	politician:lobbyist		
are_dismissed_by	"sue, testify_against"	are_bought_off_by	assistant:supervisor		
are_evicted_by	"threaten, sue, insult"	are_bought_off_by	lodger:landlord		
are_funded_by	"praise, lie_for, testify_for"	are_bought_off_by	politician:lobbyist		
are_baptized_by	cede_power_to	are_brainwashed_by	proselyte:evangelist		
are_handled_by	identify_with	are_brainwashed_by	prostitute:madam		
are_indoctrinated_by	believe_in	are_brainwashed_by	convert:missionary		
are_kidnapped_by	identify_with	are_brainwashed_by	martyr:tormentor		
are_recruited_by	"show_loyalty_to, identify_with"	are_brainwashed_by	suicide_bomber:imam		
are_chased_by	underestimate	are_captured_by	fugitive:pursuer		
are_hunted_by	underestimate	are_captured_by	beast:hunter		
are_trusted_by	"disappoint, steal_from"	are_censured_by	viceroy:king		
are_unimpressed_by	"disappoint, insult, taunt, fail_to_deliver_for"	are_challenged_by	underdog:bully		
are_driven_around_by	condescend_to	are_cheated_by	passenger:driver		
are_evaluated_by	"impress, suck_up_to, flatter, kiss_up_to"	are_chosen_by	pope:elector		
are_interviewed_by	"pay_off, impress, blackmail"	are_chosen_by	interviewee:investigator		
are_evaluated_by	"lick_up_to, kiss_up_to, impress, flatter"	are_coached_by	trainee:coach		
are_enchanted_by	"welcome, let_in"	are_conquered_by	vassal:oppressor		
are_impressed_by	"welcome, let_in"	are_conquered_by	vassal:oppressor		
are_studied_by	inspire	are_copied_by	hero:historian		
are_taught_by	"inspire, impress"	are_copied_by	apprentice:master		
are_toppled_by	inspire	are_copied_by	aristocrat:peasant		
are_tutored_by	"impress, inspire"	are_copied_by	tutee:coach		
are_advised_by	"trust, listen_to"	are_corrupted_by	apprentice:mentor		
are_appointed_by	lie_for	are_corrupted_by	ambassador:president		
are_assisted_by	fall_in_love_with	are_corrupted_by	boss:subordinate		
are_bought_off_by	"cede_power_to, bow_down_to"	are_corrupted_by	crooked_cop:criminal		
are_bought_off_by	"cede_power_to, profit_from"	are_corrupted_by	thrall:controller		
are_enlisted_by	"trust, fight_for"	are_corrupted_by	soldier:recruiter		
are_favored_by	lie_for	are_corrupted_by	loyalist:aristocrat		
are_flattered_by	"fall_in_love_with, sleep_with, trust"	are_corrupted_by	victim:temptress		
are_handled_by	show_loyalty_to	are_corrupted_by	prostitute:madam		
are_indoctrinated_by	lie_for	are_corrupted_by	imitator:master		
are_inspired_by	"learn_from, identify_with, look_up_to"	are_corrupted_by	acolyte:adviser		
are_led_by	"trust, look_up_to"	are_corrupted_by	theocrat:ayatollah		
are_mentored_by	learn_from	are_corrupted_by	trainee:coach		
are_molded_by	conspire_with	are_corrupted_by	princess:queen		
are_suppressed_by	settle_with	are_corrupted_by	slave:puppeteer		
are_taught_by	"worship, mimic"	are_corrupted_by	apprentice:master		
are_traumatized_by	"harden_toward, identify_with"	are_corrupted_by	victim:terrorist		
are_tricked_by	learn_from	are_corrupted_by	dupe:scammer		
are_blessed_by	"rebel_against, turn_against"	are_cursed_by	clergyman:pope		
are_funded_by	"fail_to_deliver_for, disappoint, lie_to, steal_from"	are_cut_off_by	entrepreneur:backer		
are_supplied_by	"steal_from, lie_to, take_advantage_of, refuse_to_pay"	are_cut_off_by	dealer:wholesaler		
are_visited_by	"rebuff, insult, offend, take_advantage_of"	are_cut_off_by	farmer:vet		
are_educated_by	"trust, listen_to"	are_deceived_by	recruit:trainer		
are_guided_by	"trust, look_up_to"	are_deceived_by	pilot:navigator		
are_instructed_by	"learn_from, look_up_to"	are_deceived_by	beginner:mentor		
are_seduced_by	"fall_in_love_with, sleep_with"	are_deflowered_by	maiden:swain		
are_wooed_by	"fall_in_love_with, favor"	are_deflowered_by	maiden:swain		
are_ordained_by	"disgust, undermine, disagree_with, misrepresent, brief_against"	are_defrocked_by	clergyman:bishop		
answer_questions_from	are_contradicted_by	are_denounced_by	applicant:interviewer		
are_chronicled_by	fail_to_impress	are_denounced_by	king:chronicler		
are_disillusioned_by	break_with	are_denounced_by	militant:theocrat		
are_examined_by	"lie_to, deceive, condescend_to"	are_denounced_by	witness:attorney		
are_favored_by	"disappoint, undermine, disagree_with, misrepresent, brief_against, spread_lies_about"	are_denounced_by	flatterer:despot		
are_hindered_by	"insult, mock"	are_denounced_by	politician:bureaucrat		
are_investigated_by	"lie_to, deceive"	are_denounced_by	thief:victim		
are_roused_by	"fail_to_deliver_for, disappoint"	are_humiliated_by	flatterer:despot		
are_manipulated_by	"criticize, harden_toward"	are_denounced_by	initiate:adept		
are_marketed_by	"fire, dump, break_with"	are_denounced_by	artist:promoter		
are_probed_by	lie_to	are_denounced_by	captive:interrogator		
are_prosecuted_by	"spread_lies_about, threaten"	are_denounced_by	defendant:prosecutor		
are_questioned_by	"lie_to, deceive"	are_denounced_by	eyewitness:prosecutor		
are_remembered_by	"disappoint, alienate"	are_denounced_by	hero:worshiper		
are_studied_by	disappoint	are_denounced_by	hero:historian		
are_sued_by	countersue	are_denounced_by	champion:sponsor		
are_supplanted_by	spread_lies_about	are_denounced_by	actor:understudy		
are_trusted_by	"betray, trick, deceive, exploit, profit_from"	are_denounced_by	intimate:insider		
are_venerated_by	"disappoint, disgust, condescend_to"	are_denounced_by	martyr:extremist		
work_with	disagree_with	are_denounced_by	comrade:collaborator		
are_served_by	"exploit, overwork, oppress"	are_deposed_by	chief:follower		
are_upstaged_by	"spread_lies_about, threaten"	are_deposed_by	artist:apprentice		
imprison	"release, spread_lies_about"	are_deposed_by	despot:rival		
are_disappointed_by	"insult, condescend_to, heckle, laugh_at"	are_despised_by	sage:follower		
are_elected_by	"fail_to_deliver_for, disappoint"	are_despised_by	politician:voter		
are_feared_by	taunt	are_despised_by	monster:victim		
are_worshipped_by	"fail_to_deliver_for, disappoint, disappoint, fail_to_impress"	are_despised_by	celebrity:fan		
are_underpaid_by	"steal_from, cheat"	are_uncovered_by	underling:boss		
are_interviewed_by	"seek_advice_from, confer_with"	are_diagnosed_by	patient:doctor		
are_abandoned_by	lose_faith_in	are_disillusioned_by	singer:fan		
are_brainwashed_by	"argue_with, disagree_with, grow_suspicious_of"	are_disillusioned_by	suicide_bomber:imam		
are_indoctrinated_by	grow_suspicious_of	are_disillusioned_by	disciple:guru		
are_led_by	grow_suspicious_of	are_disillusioned_by	follower:apostle		
are_radicalized_by	grow_suspicious_of	are_disillusioned_by	demonstrator:radical		
are_impressed_by	"worship, mimic"	are_radicalized_by	demonstrator:radical		
are_appointed_by	"disappoint, undermine, disagree_with, disrespect"	are_dismissed_by	bishop:pope		
are_chosen_by	"disappoint, fail_to_deliver_for"	are_dismissed_by	pope:elector		
are_commanded_by	"disrespect, steal_from"	are_dismissed_by	hireling:boss		
are_handled_by	"fail_to_deliver_for, disappoint, fail_to_impress, spread_lies_about"	are_dismissed_by	prostitute:madam		
are_published_by	"embarrass, spread_lies_about, lie_to, misrepresent"	are_dismissed_by	journalist:broadcaster		
"are_pushed_too_far_by, are_overworked_by"	"complain_to, stand_up_to"	are_dismissed_by	trainee:coach		
are_recruited_by	"disappoint, alienate, fail_to_deliver_for, fail_to_impress, steal_from"	are_dismissed_by	proselyte:guru		
are_sought_by	"disgust, argue_with"	are_dismissed_by	proselyte:guru		
are_trusted_by	"lead_astray, lie_to, deceive, cheat"	are_dismissed_by	abbess:bishop		
are_interviewed_by	"lie_to, deceive"	are_disqualified_by	interviewee:investigator		
are_picked_by	"condescend_to, take_advantage_of, exploit, deceive"	are_disqualified_by	nominee:nominator		
are_flattered_by	"fail_to_deliver_for, disappoint, fail_to_impress"	are_disrespected_by	boss:bootlicker		
are_respected_by	"corrupt, indoctrinate, lead_astray"	are_disrespected_by	master:imitator		
are_taunted_by	"lick_up_to, kiss_up_to, suck_up_to,  curry_favor_with"	are_disrespected_by	underdog:bully		
are_visited_by	"welcome, let_in"	are_disrespected_by	farmer:vet		
are_haunted_by	"resent, fear, hate, despise"	are_driven_mad_by	headsman:prisoner		
are_haunted_by	"beg_forgiveness_from, seek_forgiveness_from, sacrifice_to"	are_driven_mad_by	killer:victim		
are_disillusioned_by	"mock, insult, criticize"	are_dumped_by	child:father		
are_fielded_by	"fail_to_deliver_for, disappoint, fail_to_impress"	are_dumped_by	substitute:coach		
are_funded_by	"fail_to_deliver_for, disappoint, lie_to, steal_from"	are_dumped_by	capitalist:backer		
are_loved_by	"insult, disrespect"	are_dumped_by	boyfriend:girlfriend		
are_marketed_by	"disappoint, disillusion, take_advantage_of, "	are_dumped_by	entertainer:publicist		
are_promoted_by	"disappoint, disillusion, take_advantage_of, "	are_dumped_by	entertainer:publicist		
are_published_by	"embarrass, spread_lies_about, fail_to_deliver_for"	are_dumped_by	novelist:publisher		
are_selected_by	"disappoint, condescend_to, fail_to_deliver_for"	are_dumped_by	emperor:elector		
are_signed_by	"disappoint, fail_to_deliver_for"	are_dumped_by	recruit:employer		
are_supervised_by	"fail_to_deliver_for, disappoint, spread_lies_about"	are_dumped_by	player:coach		
are_trained_by	"insult, disrespect, fail_to_deliver_for, fail_to_impress, fail_to_reward"	are_dumped_by	competitor:coach		
are_transported_by	"insult, disrespect"	are_dumped_by	passenger:pilot		
are_trusted_by	take_advantage_of	are_dumped_by	school_kid:schoolmaster		
are_wooed_by	fall_in_love_with	are_dumped_by	lady:gentleman		
are_accommodated_by	"disrespect, steal_from"	are_ejected_by	house_guest:homeowner		
are_bored_by	"heckle, complain_to"	are_ejected_by	student:lecturer		
are_cared_for_by	"exploit, steal_from, spread_lies_about"	are_ejected_by	patient:nurse		
are_received_by	"insult, offend, condescend_to"	are_ejected_by	visitor:patient		
are_flattered_by	"flirt_with, sleep_with"	are_enchanted_by	thrall:controller		
are_bought_off_by	"cede_power_to, bow_down_to, obey"	are_enslaved_by	thrall:controller		
are_defeated_by	"curry_favor_with, beg_forgiveness_from, seek_forgiveness_from"	are_enslaved_by	failure:rival		
are_enchanted_by	"show_loyalty_to, fall_in_love_with"	are_enslaved_by	thrall:controller		
are_mocked_by	"agree_with, identify_with"	are_entertained_by	victim:comedian		
are_chosen_by	"trust, welcome"	are_enticed_by	punter:prostitute		
are_impressed_by	"hire, recruit"	are_escorted_by	president:bodyguard		
are_sought_by	"confer_with, talk_to"	are_evaluated_by	applicant:referee		
are_accommodated_by	"disrespect, steal_from"	are_evicted_by	lodger:landlord		
are_blessed_by	"rebel_against, turn_against"	are_excommunicated_by	clergyman:pope		
are_killed_by	haunt	are_exorcized_by	casualty:killer		
are_commanded_by	"disappoint, undermine, disagree_with"	are_expelled_by	monk:abbot		
are_converted_by	"disagree_with, disappoint"	are_expelled_by	convert:evangelist		
are_conquered_by	"work_for, settle_with, bow_down_to, cede_power_to"	are_exploited_by	vassal:oppressor		
are_impressed_by	"marry, sleep_with"	are_exploited_by	woman:suitor		
are_mystified_by	"worship, pray_to, sacrifice_to"	are_exploited_by	initiate:shaman		
are_subdued_by	"cede_power_to, bow_down_to, curry_favor_with"	are_exploited_by	native:conqueror		
are_represented_by	cede_power_to	"are_exploited_by, are_misrepresented_by, are_pushed_too_far_by"	boxer:promoter		
are_persuaded_by	"show_loyalty_to, agree_with"	"are_exploited_by, are_pushed_too_far_by"	politician:lobbyist		
are_disrespected_by	"curry_favor_with, bribe, blackmail, pay_off"	are_favored_by	mocker:victim		
are_graded_by	"pay_off, bribe, blackmail"	are_favored_by	student:examiner		
are_inspired_by	"worship, pray_to, sacrifice_to"	are_favored_by	believer:saint		
are_interviewed_by	"pay_off, impress, blackmail"	are_favored_by	interviewee:investigator		
are_rebuffed_by	"lick_up_to, kiss_up_to, suck_up_to,  curry_favor_with"	are_favored_by	suitor:beauty		
are_bitten_by	starve	are_feared_by	jailer:captive		
are_exploited_by	"turn_against, stand_up_to"	are_feared_by	monster:evil_genius		
are_hardened_by	campaign_against	are_feared_by	native:colonist		
are_incarcerated_by	campaign_against	are_feared_by	dissident:tyrant		
are_mocked_by	stand_up_to	are_feared_by	wimp:bully		
are_punished_by	testify_against	are_feared_by	gang_member:gang_lord		
are_pushed_too_far_by	"turn_against, rise_against"	are_feared_by	minion:boss		
are_represented_by	"disgust, threaten"	are_feared_by	leader:plenipotentiary		
are_resisted_by	terrorize	are_feared_by	conqueror:native		
are_ruled_by	learn_from	are_feared_by	commoner:ruler		
are_worshipped_by	abuse	are_feared_by	hero:damsel		
are_favored_by	"disappoint, undermine, disagree_with, misrepresent, brief_against, spread_lies_about, steal_from"	are_fired_by	brown_nose:boss		
are_hired_by	"fail_to_deliver_for, disappoint, lie_to, cause_trouble_for, misrepresent"	are_fired_by	biographer:publisher		
are_hired_by	"steal_from, take_advantage_of"	are_fired_by	pollster:politician		
are_paid_by	"steal_from, lie_to, take_advantage_of, spread_lies_about"	are_fired_by	adviser:leader		
are_promoted_by	"condescend_to, alienate, upstage"	are_fired_by	peon:boss		
are_pushed_too_far_by	"fail_to_deliver_for, fail_to_impress"	are_fired_by	fashion_model:fashion_designer		
are_retained_by	"condescend_to, fail_to_deliver_for, fail_to_impress"	are_fired_by	solicitor:defendant		
are_trusted_by	"lead_astray, lie_to, deceive, cheat"	are_fired_by	chancellor:prime_minister		
are_underpaid_by	"stand_up_to, criticize, negotiate_with"	are_fired_by	underling:boss		
are_used_by	"disgust, disappoint, steal_from, fail_to_deliver_for"	are_fired_by	shipper:exporter		
are_pursued_by	"elude, pay_off, buy_off, bribe, blackmail"	are_forgotten_by	criminal:prosecutor		
are_worshipped_by	fail_to_impress	are_forgotten_by	god:disciple		
are_pursued_by	hide_from	are_found_by	captive:guard		
are_exploited_by	"obtain_sympathy_from, appeal_to"	are_freed_by	slave:boss		
are_enslaved_by	"obtain_sympathy_from, appeal_to, buy_off"	are_freed_by	slave:boss		
"are_detained_by, are_imprisoned_by, are_abducted_by"	"obtain_sympathy_from, are_pitied_by"	are_freed_by	captive:pursuer		
are_coached_by	impress	are_handled_by	prostitute:madam		
are_interviewed_by	impress	are_handled_by	prostitute:madam		
are_assaulted_by	stand_up_to	are_hardened_by	target:attacker		
are_attacked_by	"struggle_with, resist, learn_from"	are_hardened_by	prey:abuser		
are_cheated_by	testify_against	are_hardened_by	dupe:swindler		
are_hurt_by	"campaign_against, stand_up_to, sue"	are_hardened_by	serf:oppressor		
are_influenced_by	"learn_from, identify_with, look_up_to"	are_hardened_by	adolescent:peer		
are_molded_by	conspire_with	are_hardened_by	princess:queen		
are_subjugated_by	learn_from	are_hardened_by	native:colonist		
are_arrested_for_killing	testify_against	are_haunted_by	killer:victim		
are_arrested_for_killing	mourn_for	are_haunted_by	mourner:victim		
are_cursed_by	kill	are_haunted_by	master:slave		
are_unimpressed_by	"sacrifice, abandon"	are_haunted_by	chess_player:pawn		
are_hindered_by	"bribe, blackmail, pay_off, buy_off"	are_helped_by	politician:bureaucrat		
are_helped_by	"refuse_to_pay, withhold_payment_from"	are_hindered_by	invalid:caregiver		
are_attacked_by	"cede_power_to, surrender_to"	are_humiliated_by	prey:abuser		
are_beaten_by	"surrender_to, cede_power_to"	are_humiliated_by	loser:winner		
are_bored_by	heckle	are_humiliated_by	student:lecturer		
are_criticized_by	"lick_up_to, kiss_up_to, flatter"	are_humiliated_by	theorist:critic		
"are_uncovered_by, are_found_by"	"bribe, blackmail, pay_off, buy_off"	are_forgotten_by	forger:critic		
"are_uncovered_by, are_found_by"	"seek_forgiveness_from, surrender_to"	"are_investigated_by, are_censured_by"	forger:critic		
are_entertained_by	"insult, condescend_to, heckle, laugh_at"	"are_humiliated_by, are_booed_by"	guest:host		
are_insulted_by	stand_up_to	are_respected_by	theorist:critic		
are_insulted_by	stand_up_to	are_humiliated_by	theorist:critic		
are_motivated_by	"fail_to_deliver_for, disappoint, fail_to_impress"	are_humiliated_by	athlete:coach		
are_painted_by	"criticize, refuse_to_pay, withhold_payment_from"	are_humiliated_by	model:painter		
are_photographed_by	"criticize, refuse_to_pay, withhold_payment_from"	are_humiliated_by	model:painter		
are_popularized_by	"condescend_to, alienate"	"are_humiliated_by, are_abandoned_by"	actor:publicist		
are_imitated_by	"criticize, sue"	are_mocked_by	luminary:biographer		
are_savaged_by	complain_to	are_humiliated_by	chef:critic		
are_sued_by	"settle_with, pay_off"	are_humiliated_by	defendant:plaintiff		
are_undermined_by	"attack, complain_to, criticize"	are_humiliated_by	proposer:opposer		
argue_before	are_undermined_by	lick_up_to	barrister:judge		
are_abandoned_by	"cry_for, pine_for"	are_ignored_by	painter:muse		
are_excommunicated_by	"beg_forgiveness_from, seek_forgiveness_from"	are_ignored_by	clergyman:pope		
are_forgotten_by	"track_down, pursue"	are_spurned_by	god:disciple		
are_obeyed_by	condescend_to	are_ignored_by	necromancer:minion		
are_spurned_by	"cry_for, pine_for"	are_ignored_by	lady:suitor		
are_overthrown_by	"beg_forgiveness_from, seek_forgiveness_from"	are_banished_by	oppressor:dissident		
are_overthrown_by	inspire	are_imitated_by	oppressor:dissident		
are_copied_by	inspire	are_impressed_by	luminary:impersonator		
are_imitated_by	inspire	are_impressed_by	artist:copycat		
are_impersonated_by	"inspire, coach"	are_impressed_by	celebrity:mimic		
are_captured_by	"disgust, insult, mock, struggle_against"	are_incarcerated_by	beast:hunter		
are_caught_by	"beg_forgiveness_from, seek_forgiveness_from"	are_incarcerated_by	adulterer:spouse		
are_found_by	"beg_forgiveness_from, seek_forgiveness_from"	are_incarcerated_by	chief:follower		
are_deposed_by	"beg_forgiveness_from, seek_forgiveness_from"	are_incarcerated_by	chief:follower		
are_excommunicated_by	"beg_forgiveness_from, seek_forgiveness_from"	are_incarcerated_by	clergyman:pope		
are_ruled_by	rise_against	are_incarcerated_by	commoner:ruler		
are_toppled_by	"beg_forgiveness_from, seek_forgiveness_from"	are_incarcerated_by	aristocrat:peasant		
are_baptized_by	"pray_with, listen_to"	are_indoctrinated_by	proselyte:evangelist		
are_converted_by	"pray_with, listen_to"	are_indoctrinated_by	convert:evangelist		
are_imprisoned_by	"beg_forgiveness_from, seek_forgiveness_from, identify_with"	are_indoctrinated_by	detainee:abductor		
are_imprisoned_by	identify_with	are_indoctrinated_by	detainee:abductor		
are_lectured_by	"trust, look_up_to"	are_indoctrinated_by	hearer:lecturer		
are_mentored_by	"seek_advice_from, learn_from"	are_indoctrinated_by	intern:mentor		
are_attracted_by	impress	are_interviewed_by	interviewee:investigator		
are_defrauded_by	testify_against	are_intimidated_by	dupe:knave		
are_followed_by	argue_with	are_intimidated_by	victim:terrorist		
are_trusted_by	"lead_astray, lie_to, deceive, cheat"	are_investigated_by	lender:regulator		
are_worshipped_by	"condescend_to, ignore"	are_kidnapped_by	captive:abductor		
are_beaten_by	sue	are_killed_by	victim:assailant		
are_bought_off_by	"testify_against, turn_against"	are_killed_by	thrall:controller		
are_corrupted_by	testify_against	are_killed_by	aggressor:appeaser		
